datetime,count
2011-01-20 00:00:00,13.275
2011-01-20 01:00:00,6.245
2011-01-20 02:00:00,5.39
2011-01-20 03:00:00,3.84
2011-01-20 04:00:00,3.145
2011-01-20 05:00:00,19.26
2011-01-20 06:00:00,66.77
2011-01-20 07:00:00,166.275
2011-01-20 08:00:00,354.235
2011-01-20 09:00:00,170.45
2011-01-20 10:00:00,109.645
2011-01-20 11:00:00,96.085
2011-01-20 12:00:00,136.65
2011-01-20 13:00:00,110.085
2011-01-20 14:00:00,125.235
2011-01-20 15:00:00,142.535
2011-01-20 16:00:00,130.84
2011-01-20 17:00:00,255.6
2011-01-20 18:00:00,185.905
2011-01-20 19:00:00,168.26
2011-01-20 20:00:00,96.265
2011-01-20 21:00:00,69.93
2011-01-20 22:00:00,49.965
2011-01-20 23:00:00,29.92
2011-01-21 00:00:00,18.08
2011-01-21 01:00:00,7.375
2011-01-21 02:00:00,6.25
2011-01-21 03:00:00,2.8
2011-01-21 04:00:00,2.71
2011-01-21 05:00:00,11.12
2011-01-21 06:00:00,52.265
2011-01-21 07:00:00,128.09
2011-01-21 08:00:00,230.605
2011-01-21 09:00:00,142.88
2011-01-21 10:00:00,77.18
2011-01-21 11:00:00,83.83
2011-01-21 12:00:00,130.55
2011-01-21 13:00:00,129.96
2011-01-21 14:00:00,130.02
2011-01-21 15:00:00,99.225
2011-01-21 16:00:00,119.93
2011-01-21 17:00:00,213.895
2011-01-21 18:00:00,154.635
2011-01-21 19:00:00,150.365
2011-01-21 20:00:00,107.505
2011-01-21 21:00:00,60.41
2011-01-21 22:00:00,40.135
2011-01-21 23:00:00,27.575
2011-01-22 00:00:00,39.96
2011-01-22 01:00:00,33.285
2011-01-22 02:00:00,33.51
2011-01-22 03:00:00,13.7
2011-01-22 04:00:00,3.88
2011-01-22 06:00:00,6.5
2011-01-22 07:00:00,32.995
2011-01-22 08:00:00,60.04
2011-01-22 09:00:00,71.2
2011-01-22 10:00:00,109.81
2011-01-22 11:00:00,114.36
2011-01-22 12:00:00,119.92
2011-01-22 13:00:00,148.36
2011-01-22 14:00:00,136.15
2011-01-22 15:00:00,147.88
2011-01-22 16:00:00,143.32
2011-01-22 17:00:00,134.47
2011-01-22 18:00:00,91.325
2011-01-22 19:00:00,71.84
2011-01-22 20:00:00,56.63
2011-01-22 21:00:00,49.835
2011-01-22 22:00:00,51.415
2011-01-22 23:00:00,19.91
2011-01-23 00:00:00,32.925
2011-01-23 01:00:00,25.18
2011-01-23 02:00:00,22.765
2011-01-23 03:00:00,28.365
2011-01-23 05:00:00,3.51
2011-01-23 06:00:00,3.625
2011-01-23 07:00:00,11.9
2011-01-23 08:00:00,37.335
2011-01-23 09:00:00,52.245
2011-01-23 10:00:00,66.295
2011-01-23 11:00:00,141.52
2011-01-23 12:00:00,84.42
2011-01-23 13:00:00,113.58
2011-01-23 14:00:00,146.06
2011-01-23 15:00:00,140.725
2011-01-23 16:00:00,137.27
2011-01-23 17:00:00,115.43
2011-01-23 18:00:00,94.535
2011-01-23 19:00:00,81.625
2011-01-23 20:00:00,60.535
2011-01-23 21:00:00,52.1
2011-01-23 22:00:00,35.975
2011-01-23 23:00:00,19.815
2011-01-24 00:00:00,10.73
2011-01-24 01:00:00,5.585
2011-01-24 03:00:00,1.68
2011-01-24 04:00:00,2.21
2011-01-24 05:00:00,9.885
2011-01-24 06:00:00,44.985
2011-01-24 07:00:00,114.52
2011-01-24 08:00:00,234.93
2011-01-24 09:00:00,153.645
2011-01-24 10:00:00,63.655
2011-01-24 11:00:00,59.775
2011-01-24 12:00:00,66.845
2011-01-24 13:00:00,64.23
2011-01-24 14:00:00,61.455
2011-01-24 15:00:00,68.05
2011-01-24 16:00:00,88.69
2011-01-24 17:00:00,150.975
2011-01-24 18:00:00,136.16
2011-01-24 19:00:00,103.08
2011-01-24 20:00:00,61.385
2011-01-24 21:00:00,42.89
2011-01-24 22:00:00,32.66
2011-01-24 23:00:00,25.22
2011-01-25 00:00:00,10.01
2011-01-25 01:00:00,3.995
2011-01-25 02:00:00,2.135
2011-01-25 04:00:00,2.205
2011-01-25 05:00:00,10.68
2011-01-25 06:00:00,53.475
2011-01-25 07:00:00,100.505
2011-01-25 08:00:00,349.975
2011-01-25 09:00:00,193.035
2011-01-25 10:00:00,81.97
2011-01-25 11:00:00,78.045
2011-01-25 12:00:00,99.045
2011-01-25 13:00:00,85.76
2011-01-25 14:00:00,104.43
2011-01-25 15:00:00,110.03
2011-01-25 16:00:00,142.06
2011-01-25 17:00:00,277.63
2011-01-25 18:00:00,230.3
2011-01-25 19:00:00,118.275
2011-01-25 20:00:00,82.265
2011-01-25 21:00:00,61.61
2011-01-25 22:00:00,51.845
2011-01-25 23:00:00,23.84
2011-01-26 00:00:00,12.895
2011-01-26 01:00:00,6.545
2011-01-26 02:00:00,3.63
2011-01-26 05:00:00,7.225
2011-01-26 06:00:00,50.14
2011-01-26 07:00:00,140.805
2011-01-26 08:00:00,240.23
2011-01-26 09:00:00,168.445
2011-01-26 10:00:00,64.155
2011-01-26 11:00:00,43.895
2011-01-26 12:00:00,40.1
2011-01-26 13:00:00,40.79
2011-01-26 14:00:00,39.475
2011-01-26 15:00:00,46.945
2011-01-26 16:00:00,77.915
2011-01-26 17:00:00,162.3
2011-01-27 16:00:00,110.23
2011-01-27 17:00:00,167.165
2011-01-27 18:00:00,149.585
2011-01-27 19:00:00,113.47
2011-01-27 20:00:00,85.1
2011-01-27 21:00:00,52.59
2011-01-27 22:00:00,44.28
2011-01-27 23:00:00,28.68
2011-01-28 00:00:00,19.835
2011-01-28 01:00:00,6.855
2011-01-28 02:00:00,4.145
2011-01-28 03:00:00,2.895
2011-01-28 05:00:00,14.14
2011-01-28 06:00:00,60.245
2011-01-28 07:00:00,172.275
2011-01-28 08:00:00,352.67
2011-01-28 09:00:00,195.305
2011-01-28 10:00:00,82.065
2011-01-28 11:00:00,71.065
2011-01-28 12:00:00,75.715
2011-01-28 13:00:00,77.155
2011-01-28 14:00:00,84.245
2011-01-28 15:00:00,95.475
2011-01-28 16:00:00,98.39
2011-01-28 17:00:00,157.875
2011-01-28 18:00:00,151.49
2011-01-28 19:00:00,114.14
2011-01-28 20:00:00,79.175
2011-01-28 21:00:00,56.56
2011-01-28 22:00:00,56.05
2011-01-28 23:00:00,35.28
2011-01-29 00:00:00,33.085
2011-01-29 01:00:00,26.205
2011-01-29 02:00:00,19.71
2011-01-29 03:00:00,14.28
2011-01-29 04:00:00,3.8
2011-01-29 06:00:00,3.865
2011-01-29 07:00:00,12.225
2011-01-29 08:00:00,55.01
2011-01-29 09:00:00,78.48
2011-01-29 10:00:00,110.54
2011-01-29 11:00:00,76.845
2011-01-29 12:00:00,104.36
2011-01-29 13:00:00,144.875
2011-01-29 14:00:00,142.305
2011-01-29 15:00:00,168.09
2011-01-29 16:00:00,146.48
2011-01-29 17:00:00,130.745
2011-01-29 18:00:00,107.425
2011-01-29 19:00:00,105.425
2011-01-29 20:00:00,67.57
2011-01-29 21:00:00,51.285
2011-01-29 22:00:00,43.38
2011-01-29 23:00:00,29.245
2011-01-30 00:00:00,40.85
2011-01-30 01:00:00,28.275
2011-01-30 02:00:00,23.61
2011-01-30 03:00:00,16.745
2011-01-30 04:00:00,6.215
2011-01-30 05:00:00,4.82
2011-01-30 07:00:00,14.805
2011-01-30 08:00:00,44.58
2011-01-30 09:00:00,84.1
2011-01-30 10:00:00,153.435
2011-01-30 11:00:00,162.8
2011-01-30 12:00:00,184.76
2011-01-30 13:00:00,189.95
2011-01-30 14:00:00,196.69
2011-01-30 15:00:00,169.155
2011-01-30 16:00:00,169.97
2011-01-30 17:00:00,156.065
2011-01-30 18:00:00,96.075
2011-01-30 19:00:00,80.065
2011-01-30 20:00:00,54.31
2011-01-30 21:00:00,48.9
2011-01-30 22:00:00,44.845
2011-01-30 23:00:00,19.365
2011-01-31 00:00:00,13.58
2011-01-31 01:00:00,4.12
2011-01-31 02:00:00,3.69
2011-01-31 03:00:00,3.05
2011-01-31 04:00:00,3.115
2011-01-31 05:00:00,6.55
2011-01-31 06:00:00,52.195
2011-01-31 07:00:00,126.79
2011-01-31 08:00:00,278.98
2011-01-31 09:00:00,110.175
2011-01-31 10:00:00,47.76
2011-01-31 11:00:00,48.625
2011-01-31 12:00:00,64.235
2011-01-31 13:00:00,67.35
2011-01-31 14:00:00,64.385
2011-01-31 15:00:00,61.825
2011-01-31 16:00:00,78.845
2011-01-31 17:00:00,159.345
2011-01-31 18:00:00,151.535
2011-01-31 19:00:00,181.23
2011-01-31 20:00:00,71.235
2011-01-31 21:00:00,43.56
2011-01-31 22:00:00,41.71
2011-01-31 23:00:00,18.825
2011-02-20 00:00:00,50.8
2011-02-20 01:00:00,42.225
2011-02-20 02:00:00,32.525
2011-02-20 03:00:00,15.475
2011-02-20 04:00:00,3.705
2011-02-20 06:00:00,6.23
2011-02-20 07:00:00,17.72
2011-02-20 08:00:00,49.65
2011-02-20 09:00:00,71.675
2011-02-20 10:00:00,146.465
2011-02-20 11:00:00,172.365
2011-02-20 12:00:00,191.135
2011-02-20 13:00:00,232.57
2011-02-20 14:00:00,249.47
2011-02-20 15:00:00,274.27
2011-02-20 16:00:00,256.85
2011-02-20 17:00:00,204.755
2011-02-20 18:00:00,202.705
2011-02-20 19:00:00,176.465
2011-02-20 20:00:00,115.865
2011-02-20 21:00:00,78.845
2011-02-20 22:00:00,69.71
2011-02-20 23:00:00,46.755
2011-02-21 00:00:00,35.295
2011-02-21 01:00:00,29.11
2011-02-21 02:00:00,13.645
2011-02-21 03:00:00,4.32
2011-02-21 04:00:00,3.76
2011-02-21 05:00:00,13.795
2011-02-21 06:00:00,22.085
2011-02-21 07:00:00,170.725
2011-02-21 08:00:00,145.02
2011-02-21 09:00:00,155.415
2011-02-21 10:00:00,136.44
2011-02-21 11:00:00,122.175
2011-02-21 12:00:00,139.08
2011-02-21 13:00:00,166.685
2011-02-21 14:00:00,130.34
2011-02-21 15:00:00,163.785
2011-02-21 16:00:00,156.205
2011-02-21 17:00:00,158.56
2011-02-21 18:00:00,149.01
2011-02-21 19:00:00,130.88
2011-02-21 20:00:00,102.575
2011-02-21 21:00:00,59.03
2011-02-21 22:00:00,43.095
2011-02-21 23:00:00,23.685
2011-02-22 06:00:00,56.285
2011-02-22 07:00:00,127.505
2011-02-22 08:00:00,256.58
2011-02-22 09:00:00,128.7
2011-02-22 10:00:00,66.55
2011-02-22 11:00:00,80.82
2011-02-22 12:00:00,85.555
2011-02-22 13:00:00,87.435
2011-02-22 14:00:00,91.285
2011-02-22 15:00:00,93.695
2011-02-22 16:00:00,91.065
2011-02-22 17:00:00,176
2011-02-22 18:00:00,172.7
2011-02-22 19:00:00,119.7
2011-02-22 20:00:00,91.64
2011-02-22 21:00:00,73.205
2011-02-22 22:00:00,48.47
2011-02-22 23:00:00,32.565
2011-02-23 00:00:00,13.355
2011-02-23 01:00:00,6.49
